UserTags,TimeStamps,Tweets,Replys,ReTweets,Likes
,2022-12-16T07:04:53.000Z,"Costly aid: Kerala coughs up Centre’s flood relief bill

After failed negotiations with the #Centre, the #Kerala government paid ₹206 cr for rice allotted by the former during the 2018 floods. A report by Shahina KK (
@Shahina_Nafeesa
)

Read more:",,,
,2018-09-03T07:57:05.000Z,"Radio ham VU3KBN in flood rescue mission: Mathrubhumi reports when the floods hit the state of Kerala, many ham radio operators assisted the State Disaster Management Authority in rescue and relief operations http://dlvr.it/QhxSf8 #hamradio #hamr #amateurradio",,3,2
,2018-08-22T07:29:32.000Z,"With operations to rescue stranded people from flood-affected areas nearing a close, the Kerala government turned its attention to cleaning of houses and public places which were damaged in the unprecedented rains which ravaged the state.

#KeralaFloods 

http://dtnext.in/News/National/2018/08/22124756/1085371/Kerala-rain-fury-Focus-on-cleaning-houses-and-public-.vpf…",,,
,2018-08-18T13:04:30.000Z,"#OperationMadad scaled up for rescue in many parts of Kerala. SNC rescue teams augmented by Gemini boats, divers and other resources from both Eastern and Western Naval Commands of the India Navy. 72 diving teams deployed across multiple locations in Kerala. #KeralaFloods",1,20,64
,2021-04-19T17:13:06.000Z,"Kerala Fisherman Who Won Praises For Rescue Work In 2018 Floods, Now Booked For Allegedly Blackmailing Couple.

#Kerala #Blackmail #KeralaFloods
https://news.abplive.com/news/india/kerala-fisherman-who-won-praises-for-rescue-work-in-2018-floods-now-booked-for-allegedly-blackmailing-couple-1453826…",,1,11
,2018-08-20T04:02:47.000Z,"#KeralaFloods | 

On Sunday, rescue operations were mainly focussed on the Chengannur and Kuttanad regions of Alappuzha and Paravur region of Ernakulam, where progress had been hampered by remoteness and strong currents in the overflowing rivers.  

https://indianexpress.com/article/india/kerala-floods-rains-rescue-operations-pinarayi-vijayan-relief-measures-5314854/…",3,19,70
,2023-07-14T05:59:55.000Z,"In August 2018, when Kerala experienced unusually heavy rainfall that led to death and destruction in the state, Anoop AB witnessed first-hand the horrific effects of a natural disaster.  

Via - 
@_SocialStory
 
#keralafloods",1,1,5
,2018-08-18T05:40:27.000Z,"CM 
@ArvindKejriwal
 calls an Emergency meeting on #KeralaFloods to discuss what more can be done to expedite Relief measures in Kerala. 
*Deputy CM, Delhi CS, Kerala Resident Commissioner to attend the meeting. 
*Delhi Govt already contributed Rs 10 Cr. Towards #KeralaFloodRelief",2,94,188
,2018-09-21T19:04:52.000Z,"People in Mumbai, do go and support this good cause for Kerala 2018 Flood Relief and please join hand in giving a helping hand with Kailash Kher and his band #Kailasa Tickets are available on BookMyShow https://facebook.com/108265959229459/posts/2028475273875175/…",,6,8
,2022-12-16T07:04:53.000Z,"Costly aid: Kerala coughs up Centre’s flood relief bill

After failed negotiations with the #Centre, the #Kerala government paid ₹206 cr for rice allotted by the former during the 2018 floods. A report by Shahina KK (
@Shahina_Nafeesa
)

Read more:",,,
,2018-08-21T17:45:33.000Z,"CPM Kerala secretary Kodiyeri Balakrishnan says Rs 16,43,73,940 has been collected by party workers through public donation drive for rehabilitation and flood relief works, money will be pooled into the CM's distress relief fund by local area committees 
@IndianExpress",,5,34
,2018-08-11T10:31:23.000Z,"#KeralaFloods2018 ₹10 lakhs for all those who have lost their homes & land. ₹4 lakhs to families who have lost a member in the calamity. ₹6 lakhs to those who lost their land. ₹4 lakhs to those who lost their homes totally, CM @vijayanpinarayi announces. @abpnewstv",2,8,52
,2018-08-20T04:15:55.000Z,"After Jal Doot now  CR sent 18 coaches relief train from Pune to Trivandram for evacuation of people stranded due to floods in flood affected areas.
#KeralaFloods
@RailMinIndia",,21,84
,2018-08-20T10:29:51.000Z,".
@ncbn
 who earlier announced Rs.10 crore relief fund to Kerala, instructed collectors of the 13 districts to appeal to philanthropists and NGOs to donate generously to the people of Kerala who were affected by severe floods and rush them to Kerala immediately(4/4)",3,25,139
,2018-08-12T13:30:51.000Z,"#KeralaFloods | I understand the suffering of the people of Kerala due to this unprecedented crisis. Since assessment of damages will take some time, I hereby announce immediate relief of additional Rs 100 crores, tweets Union home minister 
@rajnathsingh",1,10,49
