UserTags,TimeStamps,Tweets,Replys,ReTweets,Likes
,2018-08-17T15:25:28.000Z,"We're responding to the devastating #floods in #Kerala, India. Our immediate emergency response is providing water purification, hygiene and relief kits to thousands of people.
Donate here→ https://oxf.am/kerala-floods-appeal…
#KeralaFloods #KeralaFloodRelief",,23,20
,2018-08-18T07:02:01.000Z,"Hi All, we have an emergency situation in #Kerala . This is considered a #NationalDisaster . Please support.
Info:https://nytimes.com/2018/08/17/world/asia/kerala-india-floods.html…
https://reuters.com/article/us-india-floods/worst-floods-in-a-century-kill-scores-in-indias-kerala-idUSKBN1L20NT…

 #NYTimes #CBSNews #bbc #CNN 
Support needs: 
https://donation.cmdrf.kerala.gov.in",,,1
,2018-09-02T03:45:50.000Z,"In emergency situations, bureaucracy both at high-ups & street levels deliver with proper command; established procedures and discipline. I’ve been part of a good number of operations and seen the innate commitments from colleagues in disaster management. https://indiatoday.in/india/story/kerala-cm-pinarayi-vijayan-salutes-bureaucracy-for-delivering-best-in-the-time-of-floods-1329773-2018-09-02…",2,6,60
,2018-08-17T09:42:00.000Z,"Kerala floods: Government helpline numbers, emergency contact details and how you can help with donations  https://goo.gl/FvQVnQ",,,
,2018-08-30T15:24:09.000Z,കേരളത്തിലേക്ക് അത്യാവശ്യ മരുന്നുകളും സ്പെഷ്യലിസ്റ് ഡോക്ടർമാരെയും അയച്ച് ആരോഗ്യ മന്ത്രാലയം https://bit.ly/2PQyDYg https://eastcoastdaily.in/2018/08/30/kerala-floods-health-ministry-sends-emergency-drugs-and-specialist-doctors-to-flood-hit-kerala.html…,,,
,2018-08-22T05:19:11.000Z,"While the UAE has pledged Rs 700 crore for relief efforts in flood-ravaged Kerala, there is still no clarity as to whether the Indian government will accept the aid.
https://thequint.com/india/2018/08/18/kerala-floods-uae-offers-help-to-form-emergency-committee…",4,5,13
,2018-08-20T23:56:05.000Z,പൊതുജനങ്ങള്‍ താഴെപറയുന്ന നിര്‍ദേശങ്ങള്‍ പാലിക്കണം Readmore: http://bit.ly/2weAeOF http://bit.ly/2weAeOF,,,
,2018-08-18T02:00:00.000Z,"WATCH| Here's how you can charge your mobile phones using battery in an emergency. #KeralaFloods 
http://bit.ly/2OO4M1B",,1,
,2018-08-21T14:45:03.000Z,"Caritas has launched an emergency appeal to help Kerala flood survivors. It aims to provide food, clean water, shelter and livelihoods assistance to 43,000 people. More info here: https://caritas.org/2018/08/caritas-sends-help-after-kerala-flood-devastation/…",,2,3
,2018-09-03T11:45:03.000Z,"According to the ministry's National Emergency Response Centre, 488 people have died in Kerala and 54.11 lakh in 14 districts have been severely hit by rains and floods, the worst in a century.
http://bit.ly/2PWLLLL",1,1,1
,2018-08-22T07:29:32.000Z,"With operations to rescue stranded people from flood-affected areas nearing a close, the Kerala government turned its attention to cleaning of houses and public places which were damaged in the unprecedented rains which ravaged the state.

#KeralaFloods 

http://dtnext.in/News/National/2018/08/22124756/1085371/Kerala-rain-fury-Focus-on-cleaning-houses-and-public-.vpf…",,,
,2018-08-18T05:31:36.000Z,"Meanwhile, rains lashing several parts of the state since this morning is causing concern as it could hamper the rescue and relief operations #Flood #KeralaFlood https://dtnext.in/News/National/2018/08/18105245/1084762/PM-reviews-flood-situation-in-Kerala.vpf…",,,
,2021-10-17T05:48:40.000Z,"NDRF teams have been deployed for rescue and relief operations in Pathanamthitta, Idukki, Alappuzha, Ernakulam, Thrissur, and Malappuram districts, reports 
@vinsonkurian
  #KeralaRains #KeralaFloods",,3,4
,2018-08-22T17:39:36.000Z,"As part of expressing gratitude to the defence personnel who participated in the rescue operations in the rains that devastated Kerala, CM #PinarayiVijayan today said the state government would organise a befitting farewell to them
https://dtnext.in/News/National/2018/08/22215620/1085416/Kerala-Flood-Kerala-to-honour-defence-personnel-for-.vpf… #KeralaFloods",,,
