UserTags,TimeStamps,Tweets,Replys,ReTweets,Likes
,2018-08-20T11:49:59.000Z,"VPS Healthcare is launching a INR 50 crore initiative designed to aid in the recovery and rebuilding of Kerala in the aftermath of the devastating 2018 floods. 
@navdeepsuri
 @narendramodi
 @PMOIndia
 @SushmaSwaraj
 @VPSHealth
 @CMOKerala
 #KeralaFloodRelief",35,175,361
,2018-08-20T11:32:47.000Z,"Our teams have been on the ground and will continue to support the rescue and recovery efforts with clothing, food, medicine, water. We will ramp up those efforts as the recovery and rebuilding efforts get under way. #KeralaFloods",2,16,51
,2018-08-15T11:32:10.000Z,"NDRF team from Pune is led by Commander Vairav is on the way to Trivandrum for further deployment in districts is coming with additional life saving equipments

#KeralaFloods",2,25,33
,2024-06-17T02:32:43.000Z,"Despite a girl lost her life and u shamelessly blames it as funded by political leader. It had happened in 2017, but don't you think our country lost the Gem a future doctor",,,
,2018-08-18T11:34:52.000Z,"evacuation complete in SNIMS , Chalakka , Ernakulam ... over 700 ... all patients , students &  staff have reached  manjally camp. 6 Or 7 security remaining in campus. Message from Director of medical college .. Welldone Navy .. #KeralaFloods 
@nsitharaman",,36,83
,2018-08-18T12:16:24.000Z,IMD also predicted very heavy-to-heavy rainfall for Kochi and Idukki #IndiaForKerala,3,13,32
,2018-08-23T11:29:32.000Z,#KeralaFloods: Kerala Government has requested for additional medical teams and setting up of field hospitals. Army is moving medical assets in addition to the 12 teams already deployed. Total of approximately 3000 people have received medical aid till now.,1,11,53
,2018-09-03T10:58:14.000Z,"The KIMS team had received a request for general surgeons as many in the camps were affected while escaping floods. 
In the picture : Dr Srikanth, Dr. Swaroop and Dr. Bharath from #KIMS
#KIITForKerala
#KeralaReliefWork 
#KIIT #Kerala",,106,338
,2018-09-02T21:27:54.000Z,"Her son while escaping the heavy floods when the waters suddenly entered their house in the midnight stepped on a piece of glass which punctured his leg. Our team of doctors treated it carefully with love. Thanks Dr. Gifty Zacharias!
#KIITForKerala
#KeralaReliefWork
#KIIT #Kerla",,108,332
,2018-08-19T09:11:00.000Z,"Relief & rescue operations in flood ravaged Kerala on war footing; NDRF deputes highest ever 58 teams in a state; Water level receding in major rivers.

https://youtu.be/ktQ05fMttx4",2,18,39
,2018-08-15T11:32:10.000Z,"NDRF team from Pune is led by Commander Vairav is on the way to Trivandrum for further deployment in districts is coming with additional life saving equipments

#KeralaFloods",2,25,33
,2018-08-16T08:30:20.000Z,"Pathanamthitta hospital flooded, no food, water or oxygen for stranded patients. 
@shiba_kurian
 reports",8,78,135
,2018-08-18T11:34:52.000Z,"evacuation complete in SNIMS , Chalakka , Ernakulam ... over 700 ... all patients , students &  staff have reached  manjally camp. 6 Or 7 security remaining in campus. Message from Director of medical college .. Welldone Navy .. #KeralaFloods 
@nsitharaman",,36,83
