UserTags,TimeStamps,Tweets,Replys,ReTweets,Likes
,2018-08-17T17:09:30.000Z,"When we are getting shocking news of a catastrophe at Chengannur, some relieving news from Chalakudy basin. It's reported by the Sub Engineer Shaji who was trapped since 15/08 now reported that river is calming down and Poringalkuthu Dam flow is back to control 

#KeralaFloods",6,179,266
,2019-08-08T04:40:30.000Z,"#Kabini Dam outflows at 60,000 cusecs and any more release will submerge NH-766 connecting #Mysuru & Ooty near Nanjangud ..

2018 scenes might repeat if Kerala rain continues for next 2 days ..",2,16,51
,2018-08-17T04:16:20.000Z,Situation in Thrissur district worsen overnight with the Chalakudy river breaching its banks. Massive rescue operations underway. #Keralarains #KeralaFloods,2,24,37
,2018-08-18T05:26:59.000Z,"KSEBL seeks Army's help to cut and remove the logs entrapped in the dam shutters of Poringalkuthu Dam. This is required for flood control in Chalakudy region and will greatly help in the rescue operation.

Chalakudy River 

#KeralaFloods",3,45,66
,2018-08-18T04:06:00.000Z,"Today's critical areas Chengannur, Ranni as again hearing about the rainfall in Achencoil and other rivers in that zone. 

Remember Achencoil is the 2nd steepest river of Kerala after Chalakudy. So both show quick response for rising limb and recession limb of floods",2,61,82
,2018-08-13T17:37:55.000Z,Remember Kerala road that crumbled in the rains? That viral video. Army builds makeshift bridge over it,3,26,76
,2018-08-18T04:41:55.000Z,"#KeralaFloods Live | Situation getting better in Chalakudy, which was severely affected",3,21,39
,2023-06-11T20:53:49.000Z,"Kerala facts in 2018 
Incomplete but beautiful movie
#2018movie 
Humanity is alive in people when earthquakes like these flood 

Especially the anoop  character no words 
@ttovino
 his acting next level 
#JudeAnthonyJoseph #TovinoThomas #2018movie",,4,14
,2023-05-06T11:10:34.000Z,"As expected, commies upset of #2018movie because it don't go by their propaganda narrative of ""Pinarayi saving Kerala from Floods"".

Thanks you Jude Antony for saving us from another party propaganda diarrhea.

2018 floods was caused by the callousness of state govt.
Period.",1,1,11
,2023-08-07T15:18:12.000Z,Can you imagine 4 years ago the entire state was absolutely destroyed by the worst floods Kerala had seen in the last century? Look at the roads and infrastructure now,2,36,260
,2023-08-07T15:18:12.000Z,Can you imagine 4 years ago the entire state was absolutely destroyed by the worst floods Kerala had seen in the last century? Look at the roads and infrastructure now,2,36,260
,2024-06-19T12:13:38.000Z,"day this happened during nitish partner with indi alliance, when Lalu and nitish formed government,
Just within 1 month how they can built bridge man 
Maximum number of educateds are in Kerala but don't know it's school or madrasa ",,,
,2023-05-07T11:03:29.000Z,"I just watched #TheRealKeralaStory ie, the movie, 2018  It is all about how people in Kerala stood together and faced the 2018 floods. What a movie by Jude and team  spellbound  #2018Movie #2018TheMovie #KeralaFloods #calamity",,3,51
,2023-05-06T11:10:34.000Z,"As expected, commies upset of #2018movie because it don't go by their propaganda narrative of ""Pinarayi saving Kerala from Floods"".

Thanks you Jude Antony for saving us from another party propaganda diarrhea.

2018 floods was caused by the callousness of state govt.
Period.",1,1,11
,2024-05-19T06:33:31.000Z,"#KeralaRains | Storm waters have inundated the Kadakampally road in #Thiruvananthapuram, making life difficult for nearly 150 families living on its sides. Local Residents blamed the widening of the Kazhakuttom-Karode National Highway by-pass for their distress, G Anand reports",1,1,17
