UserTags,TimeStamps,Tweets,Replys,ReTweets,Likes
,2018-08-10T11:45:42.000Z,"Operation “Madad” launched by Southern Naval Command at Kochi since 09 Aug 2018 for assisting State administration and undertaking disaster relief operations due to unprecedented flooding experienced in many parts of Kerala, owing to incessant rainfall.",,33,65
,2018-08-11T15:25:19.000Z,#OpMadad VAdm AK Chawla FOCinC (S) undertook aerial reconnaisance of the flood affected areas. HQSNC is monitoring the Rescue & Relief efforts from Joint Operations Centre (JOC) Kochi 24X7 #KeralaFloods2018 #KeralaFloodRelief,2,41,132
,2018-12-15T17:11:25.000Z,"As a deep depression over the Bay Bengal intensifies into #CyclonePhethai, Andhra Pradesh is bracing for the landfall on 17th December. #IndianRedCross conducted early warning dissemination in areas prone to disasters. Here are some images from Srikakulam District Branch. ",2,19,33
,2024-06-17T06:34:47.000Z,"1 year after MOCHA hit, time to take a look back at the amazing work done by 
@MyanmarRedCross
 in response to the needs of the affected communities!
As other partners, also 
@danskrodekors
 has provided bilateral funds to support this and many other emergency operations #dkaid",,,2
,2023-10-04T12:07:37.000Z,"#Oscar-nominated film '2018: Everyone is a Hero' has revived memories of #Kerala's catastrophic floods. 

Despite heroic efforts and 1,500 relief camps, we lost nearly 500 lives. Lakhs were left homeless, and property damage exceeded 30 crores.

Read: https://weather.com/en-IN/india/news/news/2023-10-04-malayalam-fim-2018-about-kerala-floods-bags-oscar-nomination…",,1,4
,2023-12-26T04:05:54.000Z,"After  Kerala floods 2018, part of the relief amount announced by union govt was adjusted to the bills of army and navy relief efforts",,,
,2023-05-06T11:10:34.000Z,"As expected, commies upset of #2018movie because it don't go by their propaganda narrative of ""Pinarayi saving Kerala from Floods"".

Thanks you Jude Antony for saving us from another party propaganda diarrhea.

2018 floods was caused by the callousness of state govt.
Period.",1,1,11
,2023-05-05T08:54:17.000Z,"The one issue I found with '2018' is in how it sidelines the efforts of the govt machinery during the floods, just like how Aashiq Abu did with 'Virus' on how Kerala overcame the Nipah Virus threat. Anyone with a memory of those days will know that this is not true",2,1,65
,2023-07-05T11:15:15.000Z,"#LearningsFromThePast
Communities in #Kerala saw devastating #floods in 2018. These pictures are from Muttar river & Chembumukku from where the Kakkanad region begins, being flooded. It was a year of learnings that emphasises the need to keep #SafetyFirst- https://bit.ly/3XKoFeA",,,1
,2023-08-07T15:18:12.000Z,Can you imagine 4 years ago the entire state was absolutely destroyed by the worst floods Kerala had seen in the last century? Look at the roads and infrastructure now,2,36,260
,2023-02-09T17:45:46.000Z,I have worked on the ground in disaster rescue and recovery during 2018 Kerala floods.  Khalsa aid comes in with large pots and pans to setup a field kitchen that cannot serve even a single relief camp.  But by some magic every news channel shows them in every disaster ,,,3
,2023-05-05T08:54:17.000Z,"The one issue I found with '2018' is in how it sidelines the efforts of the govt machinery during the floods, just like how Aashiq Abu did with 'Virus' on how Kerala overcame the Nipah Virus threat. Anyone with a memory of those days will know that this is not true",2,1,65
,2023-11-08T16:35:26.000Z,"During 2018 flood:- HP also had 220 CR loss due to flood
""Himachal Pradesh Chief Minister Jairam Thakur announces Rs 5 crore for flood hit #Kerala""",,1,5
,2023-08-26T22:54:40.000Z,"Leukopenia improvement could have been just normal recovery of dengue, but I can say I have done everything in my control to help her out of the crisis, which is exactly how I handled 2018 floods in Kerala or the biggest threat my startup faced on social media with a fake report.",,,
,2023-06-11T20:53:49.000Z,"Kerala facts in 2018 
Incomplete but beautiful movie
#2018movie 
Humanity is alive in people when earthquakes like these flood 

Especially the anoop  character no words 
@ttovino
 his acting next level 
#JudeAnthonyJoseph #TovinoThomas #2018movie",,4,14
,2023-05-13T13:50:34.000Z,If u realy wanna knw about kerala .. Watch #2018movie  worth for money and theaterical experiance too !! Adah movie is just 3 ppl story and which exaggrated to bring hate over communities .. where as 2018 is Millions of keralities story .. how we survived together against flood,3,,11
,2023-08-07T15:18:12.000Z,Can you imagine 4 years ago the entire state was absolutely destroyed by the worst floods Kerala had seen in the last century? Look at the roads and infrastructure now,2,36,260
,2023-07-29T04:19:27.000Z,"@Collector_JSK
 Good morning Collector Gaaru I'm Sharing one of the successful Case Study of Kerala floods 2018 like 
*IAM FOR ALLEPEPY* is really benefit for People who are distressed due to floods, if there is any possibility please look at this.
 TQ",,,
,2023-08-07T15:18:12.000Z,Can you imagine 4 years ago the entire state was absolutely destroyed by the worst floods Kerala had seen in the last century? Look at the roads and infrastructure now,2,36,260
,2023-05-05T08:54:17.000Z,"The one issue I found with '2018' is in how it sidelines the efforts of the govt machinery during the floods, just like how Aashiq Abu did with 'Virus' on how Kerala overcame the Nipah Virus threat. Anyone with a memory of those days will know that this is not true",2,1,65
,2024-01-03T12:56:17.000Z,"I had the opportunity to interact with 
@mvrkteja
 after the August 2018 floods in Kerala. The post flood emergency response, rehabilitation and reconstruction of damaged houses & support during COVID19 to orphans & transgender  by him is highly commendable. 
@KeralaSDMA
 @facebook",1,,1
,2023-05-25T04:51:55.000Z,"#2018Review: A Gripping Survival Drama

#2018Movie is a visually striking film on the Kerala floods that will keep you glued to your seats with its realistic presentation, good performances& excellent technical finesse.

https://telugubulletin.com/2018-movie-review-182410…

 #BunnyVas 
@ttovino
 @Aparnabala2",1,24,332
