UserTags,TimeStamps,Tweets,Replys,ReTweets,Likes
,2024-02-14T02:00:14.000Z,"Following devastating floods in 2018, the Indian state of Kerala is committed to harnessing #data for climate resilience.

Read this report to see what it takes to effectively use data for disaster management  http://wrld.bg/21HM50QzWah",1,1,4
,2023-05-06T11:10:34.000Z,"As expected, commies upset of #2018movie because it don't go by their propaganda narrative of ""Pinarayi saving Kerala from Floods"".

Thanks you Jude Antony for saving us from another party propaganda diarrhea.

2018 floods was caused by the callousness of state govt.
Period.",1,1,11
,2023-07-13T14:31:06.000Z,"There was a huge flood in Chennai in 2015 and in 2018 there was a huge flood in Kerala...  Was it enough for triggering a full scale review of disaster management capabilities across the country.. ? 
.
We never see things that way and never learn ..",,,
,2023-05-05T08:54:17.000Z,"The one issue I found with '2018' is in how it sidelines the efforts of the govt machinery during the floods, just like how Aashiq Abu did with 'Virus' on how Kerala overcame the Nipah Virus threat. Anyone with a memory of those days will know that this is not true",2,1,65
,2023-06-11T20:53:49.000Z,"Kerala facts in 2018 
Incomplete but beautiful movie
#2018movie 
Humanity is alive in people when earthquakes like these flood 

Especially the anoop  character no words 
@ttovino
 his acting next level 
#JudeAnthonyJoseph #TovinoThomas #2018movie",,4,14
,2023-05-06T11:10:34.000Z,"As expected, commies upset of #2018movie because it don't go by their propaganda narrative of ""Pinarayi saving Kerala from Floods"".

Thanks you Jude Antony for saving us from another party propaganda diarrhea.

2018 floods was caused by the callousness of state govt.
Period.",1,1,11
,2023-05-05T08:54:17.000Z,"The one issue I found with '2018' is in how it sidelines the efforts of the govt machinery during the floods, just like how Aashiq Abu did with 'Virus' on how Kerala overcame the Nipah Virus threat. Anyone with a memory of those days will know that this is not true",2,1,65
,2018-08-27T03:55:12.000Z," CPM hijacking relief materials, alleges CPI | Kerala Floods 2018 | rain fury Kerala | Kerala floods | Munnar | Idukki collector | natural disaster | Kerala rain latest news | Onmanorama https://english.manoramaonline.com/districts/idukki/2018/08/25/cpm-hijacking-relief-materials-alleges-cpi.html…",,1,1
,2018-08-26T13:27:01.000Z,"The ""party"" is the biggest mafia in Kerala. 

CPM hijacking relief materials, alleges CPI | Kerala Floods 2018 | rain fury Kerala | Kerala floods | Munnar | Idukki collector | natural disaster | Kerala rain latest news | Onmanorama https://english.manoramaonline.com/districts/idukki/2018/08/25/cpm-hijacking-relief-materials-alleges-cpi.html…",,,
,2018-08-22T03:29:25.000Z,"""It would be dishonest of us to treat this calamity purely as a natural disaster in which we humans played no part,"" writes Arundhati Roy on the #KeralaFlooding: https://english.manoramaonline.com/news/columns/straight-talk/2018/08/21/arundhati-roy-article-on-kerala-floods.html…",,,
,2018-08-17T15:33:01.000Z,"The ignorance towards flood victims, neglecting the natural disaster while focusing on other silly issues as if the land belongs to mars. Kashmir has seen it all in 2014. Same is being repeated again in 2018. In soliderity with #kerala  #Keralafloods prayes n love frm kashmir.",1,1,3
,2018-08-22T15:05:37.000Z,"“it would be dishonest of us to treat this calamity purely as a natural disaster in which we humans played no part.”

The rising tide | Kerala floods 2018 | Madhav Gadgil | Kerala environment | climate change https://english.manoramaonline.com/news/columns/straight-talk/2018/08/21/arundhati-roy-article-on-kerala-floods.html…",,,
,2018-08-18T17:53:24.000Z,"@PMOIndia
 The floods of Kerala 2018 is made a big news in the national media. The kodagu and madkeri of karnataka which very near to Kerala is also facing the same kind of situation. Please give some attention and declare this as natural disaster. Please help.",,,
,2018-08-20T02:23:29.000Z,Watch “SUPPORT KERALA FOR FLOOD AND NATURAL DISASTER” on YouTube http://youtube.com/watch?v=o__6QEhM2AE&feature=youtu.be… https://arunstar11.wordpress.com/2018/08/20/watch-support-kerala-for-flood-and-natural-disaster-on-youtube/…,,,
,2018-08-22T17:04:50.000Z,"And yet, as the waters recede, we are faced with the fact that it would be dishonest of us to treat this calamity purely as a natural disaster in which we humans played no part.’

 https://english.manoramaonline.com/news/columns/straight-talk/2018/08/21/arundhati-roy-article-on-kerala-floods.html…",,,
,2018-08-29T10:30:54.000Z,"Kerala has experienced once-in-a-century flooding. Schools had turned into refugee camps. Every family has a tragedy to share. 
This tough natural disaster is bringing out the best of... http://financialscooop.blogspot.com/2018/08/kerala-floods-and-its-impact-on-economy.html?m=1…",,,2
,2018-08-26T19:19:02.000Z,"Imapct of natural disaster on tourism: Kerala's flooding just one examples to be noted. 
@AJENews
 http://aje.io/gbnzh",,,
,2018-08-24T13:45:10.000Z,"Between 1920-1990, 40% of Western Ghats forests across six states were cut, loosening soil, reducing its water-absorbing capacity and increasing vulnerability to more intense rain in an era of climate change. http://bit.ly/2Mx5sLK http://bit.ly/2Mx5sLK",,,
,2018-10-14T03:24:04.000Z,കേരളം കാലാവസ്ഥാ മാറ്റത്തിന്റെ ഇര; പിറക്കേണ്ടത് ‘ക്ലൈമറ്റ് സ്മാർട്ട്’ കേരളം http://dlvr.it/QnGTCP,2,,5
,2018-09-05T04:22:20.000Z,"For most corporate newsrooms, the very act of reporting on climate change is a conflict of interest | 
@shreeshanV
 https://newslaundry.com/2018/09/04/kerala-flood-nagaland-flood-climate-change-india-media-reporting…",,5,7
,2018-11-27T12:34:50.000Z,"New Study Questions Kerala Flood Link with Climate Change https://researchstash.com/2018/11/27/new-study-kerala-flood-link-climate-change/… via 
@ResearchStash
 @iitgn
 @iitbombay
 @iitmpune
 @dineshcsharma",,4,5
,2018-08-28T05:05:05.000Z,ഇനി അണക്കെട്ടു തുറക്കുമ്പോള്‍ കേന്ദ്രവും ഇടപെടും; ഏകോപനത്തിനു പുതിയ സംവിധാനം,1,3,4
,2018-10-10T09:23:05.000Z,പ്രളയത്തിനു പിന്നിൽ കാലാവസ്ഥാ മാറ്റം: ഇത് അവസാന മുന്നറിയിപ്പ്; നടപടി എടുക്കണം http://dlvr.it/Qmt2F5,,1,2
,2018-09-07T12:46:17.000Z,"Thoughtful piece on lack of media coverage of climate change in Indian. Implicates corporate ownership of media, indifference to challenges facing rural India.

Why Indian newsrooms don’t care about climate change | Newslaundry https://newslaundry.com/2018/09/04/kerala-flood-nagaland-flood-climate-change-india-media-reporting… via 
@newslaundry",,,
,2018-08-17T15:00:25.000Z,Horrible and made worse by man-made climate change! Kerala floods: death toll reaches 164 in worst monsoon in nearly a century https://theguardian.com/world/2018/aug/17/kerala-floods-death-toll-india-reaches-86-in-worst-monsoon-in-nearly-a-century?CMP=Share_iOSApp_Other…,,,
,2019-03-26T08:28:26.000Z,"According to the #Kerala government, one-sixth of the state’s total population was directly affected by the deluge

#climatechange #LokSabhaElections2019 

https://financialexpress.com/india-news/after-2018-floods-keralites-want-climate-change-to-drive-poll-narrative/1527830/…",,,1
,2018-10-04T13:06:44.000Z,"Orange Alert has been issued in Idukki for 5th, 6th & 8th of October. An orange alert has been issued for Malappuram 8/10/2018. IMD has predicted heavy to very heavy rainfall at isolated places.",3,53,108
