UserTags,TimeStamps,Tweets,Replys,ReTweets,Likes
,2018-08-22T07:29:32.000Z,"With operations to rescue stranded people from flood-affected areas nearing a close, the Kerala government turned its attention to cleaning of houses and public places which were damaged in the unprecedented rains which ravaged the state.

#KeralaFloods 

http://dtnext.in/News/National/2018/08/22124756/1085371/Kerala-rain-fury-Focus-on-cleaning-houses-and-public-.vpf…",,,
,2022-07-08T10:30:00.000Z,"Advocate Jacob P Alex, the amicus curiae appointed by the Kerala high court to assist it in 2018 #Kerala flood-related cases, told the court that the intensity of flood was aggravated due to sudden release of water from different reservoirs during rains.

https://outlookindia.com/national/dam-it-altering-river-flow-does-no-one-any-good-magazine-207271…",,,
,2018-08-18T13:38:39.000Z,More heavy rains likely in #Kerala as #flood death toll jumps https://dhakatribune.com/world/south-asia/2018/08/18/more-heavy-rains-likely-in-kerala-as-flood-death-toll-jumps…,,,2
,2018-08-18T13:26:29.000Z,More heavy rains likely in India's Kerala as flood death toll jumps https://bdnews24.com/neighbours/2018/08/18/more-heavy-rains-likely-in-india-s-kerala-as-flood-death-toll-jumps…,,,3
,2018-08-20T19:35:01.000Z,"Heavy rains caused massive flooding and landslides in #Kerala, India, killing more than 200 people and forcing an estimated 800k from their homes. https://wapo.st/2Lbxzuq by 
@aijazr
 via 
@washingtonpost",,2,1
,2018-08-18T10:51:08.000Z,"#KeralaFloods: Govt issues red alert for Saturday in 11 districts. Heavy rainfall predicted for the day in all districts except Thiruvananthapuram, Kollam and Kasaragod

LIVE updates:",1,14,53
,2018-08-25T14:46:00.000Z,"Interesting story on ways #socialmedia and technology were used to provide relief and rescue assistance to people in #Kerala, India after heavy rains caused massive flooding and landslides. https://n.pr/2LkWVGD by 
@Kamal_t
 via 
@NPRGoatsandSoda",,,4
,2018-08-19T11:31:42.000Z,"#Kerala flood toll rises as monsoon rains continue 
@AJEnglish
 http://aje.io/stgf3",,2,3
,2018-08-20T14:09:08.000Z,"As the death toll in #Kerala rises, we're on the ground responding to the devastating floods.

#KeralaFloodRelief 
#KeralaFlood 

https://worldvision.org.uk/news-and-views/latest-news/2018/august/world-vision-launches-emergency-response-kerala-floods/…",,1,1
,2018-08-22T05:19:11.000Z,"While the UAE has pledged Rs 700 crore for relief efforts in flood-ravaged Kerala, there is still no clarity as to whether the Indian government will accept the aid.
https://thequint.com/india/2018/08/18/kerala-floods-uae-offers-help-to-form-emergency-committee…",4,5,13
,2018-08-20T08:49:47.000Z,"World Vision has deployed staff to areas affected by severe flooding in #India, where we will be reaching 8,000 families with emergency assistance.

Contact 
@CareyLodge
 for interviews

#KeralaFlood 
#KeralaFloodRelief

https://aljazeera.com/news/2018/08/disaster-deadly-kerala-floods-displace-800000-180819142342769.html…",,4,2
,2018-08-20T14:44:47.000Z,"""Over 32 million people – approximately half of them children – have  been affected... Lives are hanging in the balance – these children can’t wait. They need life-saving help, now."" - Cherian Thomas, National Director of 
@WVIndia
 

#KeralaFloods

https://worldvision.org.uk/news-and-views/latest-news/2018/august/world-vision-launches-emergency-response-kerala-floods/…",,3,6
,2018-09-27T03:34:19.000Z,"Kerala floods one month after: Comprehensive plan to deal with emergency situations on the anvil https://goo.gl/WGUsy8 via 
@NewIndianXpress",,,
,2018-08-19T06:08:07.000Z,"""Ahead of Eid Al Adha, do not forget to extend a helping hand to our brothers in India,"" said 
@HHShkMohd
.
http://whatson.ae/dubai/2018/08/the-uae-has-set-up-an-emergency-committee-to-help-flood-hit-kerala/…",,,3
,2018-08-19T07:51:22.000Z,Rescuers waded into submerged villages in southern India on Sunday in a desperate search for survivors cut off for days by floods that have already killed more than 350 people.,,3,3
,2018-08-23T06:43:16.000Z,"“This isn't not going to be a 100-metre sprint, it is going to be a long marathon,” says Unni Krishnan, Save the Children’s emergency health unit in reference to rebuilding efforts in the state. Read the story here: https://aljazeera.com/news/2018/08/kerala-flood-survivors-face-great-struggle-rebuild-lives-180822151441956.html… 
@AlJazeera
...",,,
,2018-08-30T12:26:29.000Z,"Podcast alert! #ReportersWithoutOrders: In which, Prateek Goel from Pune and 
@VishKVarma
 from Kochi join 
@tweets_amit
 and 
@QuilledWords
 to discuss the genesis of #PlotToKillPM, rehabilitation in Kerala, Mirchpur violence and more. Listen up!",,6,10
,2018-08-16T09:19:25.000Z,"Chalakkudi town is being submerged fully, water level is steadily increasing in Kochi lake too, reports of two storey structures are being fully submerged, rescue operations challenged, thousands of homes and buildings under water  #keralafloods 
@IndianExpress",3,57,66
,2018-08-18T12:16:24.000Z,IMD also predicted very heavy-to-heavy rainfall for Kochi and Idukki #IndiaForKerala,3,13,32
,2018-07-21T08:49:07.000Z,"Kerala: Central government delegation led by Union Minister Kiren Rijiju visited flooded areas of Alappuzha and Kottayam districts, said, ""government had sanctioned aid of Rs 80 crore yesterday.""",,11,75
,2018-08-19T20:29:37.000Z,"Kochi, with love: Facebook group born during Chennai floods helps rebuild Kerala https://indiatoday.in/india/story/kerala-floods-anbodu-kochi-1318450-2018-08-19… via 
@indiatoday",,,
,2018-09-09T01:57:01.000Z,"Post floods, Kerala set to welcome tourists from Oct

 
@BJP4Keralam
 @vijayanpinarayi #KeralaTourism #BalaKiran #Kochi 
@KochiBiennale
 #TravelandTourismFair 
@CMOKerala
 
http://eenaduindia.com/states/south/kerala/thiruvantapuram/2018/09/08224731/Post-floods-Kerala-set-to-welcome-tourists-from-Oct.vpf…",,,
,2018-09-29T11:19:03.000Z,"A good show by the Kochi-based 
@KeralaBlasters
 in the coming 
@IndSuperLeague
 can bring some solace to a football-loving Kerala which is struggling to rebuild lives after recent floods.

Kerala Blasters preview 
#HeroISL #KOLKER #IndianFootball https://trib.al/Q0nhWT8",,3,5
