UserTags,TimeStamps,Tweets,Replys,ReTweets,Likes
,2018-08-18T11:00:06.000Z,Looks like #Nature has given us back all what we have given it ... the picture shows a bridge in Kerala after water has receded ... hope we #StopLittering our land and learn a lesson or two from such calamities !,14,129,536
,2023-06-11T20:53:49.000Z,"Kerala facts in 2018 
Incomplete but beautiful movie
#2018movie 
Humanity is alive in people when earthquakes like these flood 

Especially the anoop  character no words 
@ttovino
 his acting next level 
#JudeAnthonyJoseph #TovinoThomas #2018movie",,4,14
,2023-05-06T11:10:34.000Z,"As expected, commies upset of #2018movie because it don't go by their propaganda narrative of ""Pinarayi saving Kerala from Floods"".

Thanks you Jude Antony for saving us from another party propaganda diarrhea.

2018 floods was caused by the callousness of state govt.
Period.",1,1,11
,2019-02-11T12:44:02.000Z,Remember road that caved in during Kerala floods? It’s restored and serviceable  The News Minute The 2018 floods in Kerala had certain moments that are seared into our memories — the NDRF officer running through Cheruthoni Bridge in Idukki with a child ... http://fxmb.info/Qyf4hQ,,,
,2019-08-02T05:26:56.000Z,"Remembering the #Kerala floods of 2018 & the good Samaritans who came to the rescue

Read more at: https://english.manoramaonline.com/news/kerala/2019/08/01/picture-kerala-floods-cheruthoni-bridge-child-rescue-deluge-diaries.html…",,,
,2021-10-20T09:38:58.000Z,"പനിയായിരുന്നിട്ടും 'തക്കുടു' അച്ഛന്റെ കൈപിടിച്ച് ചെറുതോണി പാലത്തിൽ വീണ്ടുമെത്തിയതെന്തുകൊണ്ട്?
#KeralaFloods #keralarain 
#Kerala 
https://malayalam.news18.com/news/explained/the-boy-who-had-a-miraculous-escape-in-2018-floods-revisits-the-idukki-cheruthoni-bridge-rv-460979.html…",,1,1
,2022-09-20T02:01:45.000Z,"പ്രളയത്തിൽ  ഇടുക്കി ചെറുതോണി പാലത്തിലൂടെ കുട്ടിയുമായി ഓടിയ വിജയരാജിനെ വീട്ടിൽ വെച്ച് തെരുവുനായ കടിച്ചു 
#StrayDog #Kerala 
https://malayalam.news18.com/news/kerala/vijayraj-attacked-by-stray-dog-in-idukki-who-ran-across-the-cheruthoni-bridge-with-child-during-the-flood-in-2018-jk-557510.html…",,,
,2021-10-20T06:22:04.000Z,Boy who was carried across sinking Cheruthoni bridge in 2018 comes back to see it after 3 yrs https://english.mathrubhumi.com/news/kerala/boy-who-was-carried-across-sinking-cheruthoni-bridge-in-2018-comes-back-to-see-it-after-3-yrs-kerala-flood-2021-heavy-rain-2021-1.6103240… #Keralaflood2018 #dams #KeralaFloods #KeralaRains,,1,1
,2022-11-01T09:04:07.000Z,"Cheruthoni’s critical infrastructure, such as roads & the main bridge connecting 2 ends of the town, were severely damaged during the 2018 Kerala floods.

Nasar, an autorickshaw driver, narrates how Cheruthoni is now climate-proofing its infrastructure",1,,1
,2024-04-25T13:30:12.000Z,"The 2018 flood isolated Kerala's Cheruthoni and washed away homes. The people vowed never to lose their livelihood in  another event and fought for climate-proof infrastructure.

Let's invest in resilient and sustainable infrastructure.",,1,7
,2018-08-09T09:44:37.000Z,"#Kerala: Rain water enters low-lying residential areas in Pathalam, Ernakulam. Kerala Fire & Rescue Department rescue people using boats. 20 people have died in Kerala so far in flooding and landslides following heavy and incessant rains.",6,38,48
,2019-09-03T06:48:25.000Z,Congress leader Rahul Gandhi writes to Kerala Chief Minister regarding reconstruction of Kaippinikadavu bridge between Kurumbilangode and Chungathara village in Chungathara Grama Panchayath (flood affected area) in Malappuram... #Wayanad,,37,131
,2018-08-16T02:26:17.000Z,#KeralaFloods; Water level in Achankoil river at Alappuzha's Kollakadavu rises as heavy rainfall continues to lash the state.,,26,68
,2018-08-16T13:48:46.000Z,"#KeralaFloods: Indian Army builds 35-feet long bridge to rescue over hundred people from Valiyakada village in Malampuzha 
@adgpi
  
#KeralaFloods2018",2,25,46
,2022-12-03T13:09:58.000Z,"The story of the brave Keralites who fought together the flood that drenched the state in 2018. 
മലയാളികളുടെ ചങ്കുറപ്പിന്റെ കഥ!!
ഓരോ മലയാളികളും നായകരായ കഥ !!!

""EVERYONE IS A HERO""

#2018EveryoneIsAHero Directed By #JudeAnthanyJoseph",,20,119
