UserTags,TimeStamps,Tweets,Replys,ReTweets,Likes
,2018-06-14T04:57:55.000Z,"Kerala: A 9-year-old girl dead, 10 people suspected to be missing due to heavy rain in Kozhikode and Kannur; Teams of National Disaster Response Force and State Disaster Management team present in Kozhikode.",1,17,50
,2018-08-23T03:15:00.000Z,"People ran up hills or climbed trees to escape '99 flood
#KeralaFloods99 #KeralaFloods #KeralaFloodsFlashback
https://english.manoramaonline.com/news/kerala/2018/08/22/kerala-people-escape-99-floods-kozhikode-kochi.html…",,,
,2018-08-11T11:50:35.000Z,"Chief Minister Pinarayi Vijayan, while visiting the flood-affected areas of Idukki, Alappuzha, Ernakulam, Wayanad, Kozhikode and Malappuram districts, said the state should face #KeralaFloods jointly and he offered all support from the government.

http://newindianexpress.com/states/kerala/2018/aug/11/kerala-rains-cm-pinarayi-vijayan-visits-flood-affected-wayanad-announces-financial-aid-1856388.html…",,,2
,2018-08-16T08:45:04.000Z,"Heavy rain, gusty wind continue to wreak havoc across the district, causing landslips, floods and falling trees, and extensive damage to houses and vast tracts of cultivated land.
#KeralaFlood 

http://bit.ly/2vPbxc5",,1,
,2022-11-03T13:56:59.000Z,"Written and directed by Jude Anthany Joseph, #2018Movie tells the story of the heroes who fought together when severe floods devastated Kerala in 2018.

#TovinoThomas #KunchackoBoban #AsifAli",,12,20
,2023-05-29T11:26:58.000Z,"Around 15 lakh Malayalis reside in #Bengaluru. During the Kerala floods, it was a nightmare for many who worried about their families back home. #2018Movie is a harrowing reminder of the disaster for Keralites in the city, writes 
@mysorevivekmv",2,5,24
,2018-08-12T18:06:05.000Z,"CM Vijayan said that nearly 20,000 houses have been fully damaged while nearly 10,000 km of state PWD roads have been damaged in the Kerala floods.
(
@Itsgopikrishnan
)
https://indiatoday.in/india/story/kerala-floods-loss-rs-8-316-crore-says-cm-pinrayi-vijayan-1312743-2018-08-12…",4,13,51
,2022-08-01T16:26:06.000Z,"For ernakulam district and thrissur, yes this spell looks worse than 2018

But idukki dam has 1/3rd buffer storage, so river based flooding should be medium level, not massive like 2018",1,2,25
,2021-10-19T12:30:00.000Z,"Kerala Flood 2021: Idukki dam shutters opened for first time after 2018, Orange alert issued in many districts
#KeralaFloods 
https://jagranjosh.com/current-affairs/kerala-flood-2021-idukki-dam-shutters-opened-for-first-time-after-2018-orange-alert-issued-in-idukki-ernakulam-1634637284-1?ref=list_ca…",,,2
,2021-10-17T05:48:40.000Z,"NDRF teams have been deployed for rescue and relief operations in Pathanamthitta, Idukki, Alappuzha, Ernakulam, Thrissur, and Malappuram districts, reports 
@vinsonkurian
  #KeralaRains #KeralaFloods",,3,4
,2018-07-21T08:49:07.000Z,"Kerala: Central government delegation led by Union Minister Kiren Rijiju visited flooded areas of Alappuzha and Kottayam districts, said, ""government had sanctioned aid of Rs 80 crore yesterday.""",,11,75
,2018-08-18T03:22:23.000Z,"At 8am, Idukki reservoir is at 2401.50 ft and 10 lakh litres of water is being released. 3 gates opened at 2.60 m while 2 gates are at 1 m

#KeralaFloods LIVE updates",2,15,52
,2018-08-20T05:20:38.000Z,An Alliance Air flight from Bengaluru carrying 71 passengers landed at Kochi Navy airport this morning. The airport had stopped commercial operations nearly two decades ago. #keralafloods,1,7,60
,2018-08-20T04:02:47.000Z,"#KeralaFloods | 

On Sunday, rescue operations were mainly focussed on the Chengannur and Kuttanad regions of Alappuzha and Paravur region of Ernakulam, where progress had been hampered by remoteness and strong currents in the overflowing rivers.  

https://indianexpress.com/article/india/kerala-floods-rains-rescue-operations-pinarayi-vijayan-relief-measures-5314854/…",3,19,70
,2022-11-03T13:56:59.000Z,"Written and directed by Jude Anthany Joseph, #2018Movie tells the story of the heroes who fought together when severe floods devastated Kerala in 2018.

#TovinoThomas #KunchackoBoban #AsifAli",,12,20
,2018-08-12T14:05:57.000Z,"CM Pinarayi Vijayan submitted a representation to 
@HMOIndia
 Shri Rajnath Singh. CM expressed gratitude for the timely visit of 
@HMOIndia
 to Kerala to see the severe damages caused by the unprecedented heavy rainfall and the resultant riverine and coastal floods and landslides.",3,10,33
,2020-04-02T05:16:42.000Z,"The 2018 floods were Kerala's biggest natural disaster in history. Claimed 483 lives, displaced over 14.50 lakh people, and left a trail of destruction of about Rs 30k crore, as per official estimates. Center eventually provided Rs 2904 crore.",2,14,50
,2018-07-21T08:49:07.000Z,"Kerala: Central government delegation led by Union Minister Kiren Rijiju visited flooded areas of Alappuzha and Kottayam districts, said, ""government had sanctioned aid of Rs 80 crore yesterday.""",,11,75
,2018-12-30T10:00:00.000Z,"“The idea was to create a comprehensive file on the floods of 2018, something that gives the reader a complete picture. I felt it will be useful for future generations.” 
#KeralaFloods",,6,34
,2018-08-18T10:51:08.000Z,"#KeralaFloods: Govt issues red alert for Saturday in 11 districts. Heavy rainfall predicted for the day in all districts except Thiruvananthapuram, Kollam and Kasaragod

LIVE updates:",1,14,53
,2018-08-17T08:41:48.000Z,"#KeralaFloods: Due to inundated tracks, landslips and high water current under railway bridges, the train services on Thiruvananthapuram-Kottayam-Ernakulam and Ernakulam-Shoranur-Palakkad sections will remain suspend till 4pm on Saturday. https://timesofindia.indiatimes.com/city/kochi/kerala-floods-2018-live-news-updates/liveblog/65433291.cms…",,1,
,2023-05-15T05:13:40.000Z,"Do you remember 2018 Kerala Floods? Please watch this Malayalam movie on 2018 floods 
https://imdb.com/title/tt9006564/…
It tells the real story on how people banded together to save precious lives. The movie talks just one language- the language of humanity. 
This is the real Kerala Story.",2,18,69
,2018-12-30T10:00:00.000Z,"“The idea was to create a comprehensive file on the floods of 2018, something that gives the reader a complete picture. I felt it will be useful for future generations.” 
#KeralaFloods",,6,34
,2018-08-23T02:21:56.000Z,"The Elected LS MP of #Kerala who shd have personally been with the people who suffering due to  #KeralaFloods,instead is seen in Geneva & Germany with his boss, talking abt what #ModiGovt shd do & not do.Opportunistic politicians planning for 2019 elections.SHAME ON 
@INCIndia",5,27,38
,2023-05-29T11:26:58.000Z,"Around 15 lakh Malayalis reside in #Bengaluru. During the Kerala floods, it was a nightmare for many who worried about their families back home. #2018Movie is a harrowing reminder of the disaster for Keralites in the city, writes 
@mysorevivekmv",2,5,24
,2018-08-18T10:51:08.000Z,"#KeralaFloods: Govt issues red alert for Saturday in 11 districts. Heavy rainfall predicted for the day in all districts except Thiruvananthapuram, Kollam and Kasaragod

LIVE updates:",1,14,53
,2018-08-12T14:05:57.000Z,"CM Pinarayi Vijayan submitted a representation to 
@HMOIndia
 Shri Rajnath Singh. CM expressed gratitude for the timely visit of 
@HMOIndia
 to Kerala to see the severe damages caused by the unprecedented heavy rainfall and the resultant riverine and coastal floods and landslides.",3,10,33
,2018-08-18T13:17:30.000Z,"It was the flood-prone, low-lying Kuttanad in central Kerala that was the first to bear the brunt — it became inundated in early July.  #KeralaFloods #KeralaRains",1,20,52
,2018-12-30T10:00:00.000Z,"“The idea was to create a comprehensive file on the floods of 2018, something that gives the reader a complete picture. I felt it will be useful for future generations.” 
#KeralaFloods",,6,34
,2018-10-18T18:00:16.000Z,Vijayan is currently in Abu Dhabi to persuade the well-heeled expatriate Malayali community there to contribute treasure and talent to rebuild flood-ravaged Kerala actively.,14,7,39
,2018-07-21T08:49:07.000Z,"Kerala: Central government delegation led by Union Minister Kiren Rijiju visited flooded areas of Alappuzha and Kottayam districts, said, ""government had sanctioned aid of Rs 80 crore yesterday.""",,11,75
,2018-08-19T14:39:20.000Z,"1. Floods don't go around with census data targetting the rich. Wayanad, one of the first and worst affected districts is desperately poor. One of two Kerala districts drawing support from the Backward Regions Grant Fund along with Palakkad. Citation: http://panchayat.gov.in/documents/10198/0/BRGFFINALGUIDELINES.pdf…",1,82,148
,2018-08-18T11:03:15.000Z,"#KeralaFloods: Govt issues red alert for Saturday in 11 districts. Heavy rainfall predicted for the day in all districts except Thiruvananthapuram, Kollam and Kasaragod

LIVE updates: http://toi.in/urRI6b",,,
