UserTags,TimeStamps,Tweets,Replys,ReTweets,Likes
,2023-05-02T14:11:32.000Z,"Instances from the 2018 Kerala flood are still fresh in my memory. I am still reminded of the water levels when I pass by places that got completely or partially submerged.
But i am reminded more fondly about the rescue operations, and the unity our people displayed. #2018Movie",,,
,2023-05-06T05:22:18.000Z,"#2018Movie - Based on 2018 Kerala Floods & Rescue Operations. Huge star cast, Tovino & Sudhish stand out. 1st Hlf took some time to settle down & get into action. Final 45Mins Rescue portion is Stunning. Great Making. Super Artwork, Sound Design & Visuals. Water scenes look so…",,102,710
,2024-04-01T18:33:28.000Z,"For #Kerala: The state survived two massive floods in 2018 & 2019. Unfortunately, no debates are happening while we face #LokasabhaElection2024 Vote to those who protect #environment #forests Ensure potable #water to #public #RTIinfo #RTI #KeralaNews",,,
,2023-08-23T08:07:19.000Z,"The reported release of water by 21 out of 23 dams in Himachal Pradesh leading to floods downstream even across state borders must remind people about the 2018 floods in Kerala. Need better coordination by SDMA with regulators like 
@CWCOfficial_GoI
 @Mowrdsl
 @IMDWeather
 @ndmaindia",2,2,4
,2023-12-04T15:02:40.000Z,"To all affected by #ChennaiFloods here are some practical tips which worked for us during Kerala Floods 2018. Leave all doors & windows wide open for water to flow freely to keep structures safe, mobile phones on extreme power save mode etc.",1,,1
,2024-03-22T03:04:27.000Z,"Inspite of being stranded like a lighthouse in the middle of 2018 floods in Kerala for 7days, I am still happy with the decision to live next to a fresh water River. Bangalore water crisis reinforces it further. 
#ComeHome from the overcrowded cities!",,,
,2023-06-03T14:03:27.000Z,Summer hell might have just spared Kerala a 2018-like water grave this coming monsoon | Monsoon | Manorama English | Onmanorama https://onmanorama.com/news/kerala/2023/06/01/summer-hell-may-have-spared-state-2018-like-flood-situation-during-monsoon.html…,,,
,2018-08-17T08:38:15.000Z,"Karnataka, like its neighbouring state Kerala, has seen incessant rainfall, which has caused flash floods and landslides in the coastal areas of the state and Malnad region.
(Report by 
@nagarjund
)",,13,21
,2023-07-14T05:59:55.000Z,"In August 2018, when Kerala experienced unusually heavy rainfall that led to death and destruction in the state, Anoop AB witnessed first-hand the horrific effects of a natural disaster.  

Via - 
@_SocialStory
 
#keralafloods",1,1,5
,2018-08-22T06:40:56.000Z,"With abating rainfall in Kerala, Centre races to avert outbreak of disease due to flood: http://newsbharati.com//Encyc/2018/8/22/Centre-focuses-on-disease-outbreak.html… via @newsbharati",,,1
